Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
I1880	I1880	LGCS1a	LipsonNature2017	Context: Archaeological - Period	7600	87	5800-5500 BCE	Hungary_EN_Starcevo_2	Lánycsók, Gata-Csatola	Hungary	45.993	18.58127	1240K	1	0.766	794399	M	n/a (no relatives detected)	G-F872	G2a2b2b1a1	W5	ds.half	S2344.L1	PASS	Literature, X-contam=0.006; mtcontam=0.96	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.211239	0.993	0.01	0.128113	0.003	0.98	0.017	0.012	0.015	0.017	1	0.211239	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_highEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000001
I1877_all	I1877	BAM13b	LipsonNature2017	Direct: IntCal20	7567	39	5713-5556 calBCE (6704±34 BP, MAMS-11933)	Hungary_EN_Starcevo_2_all	Alsonyek-Bataszek, Mérnöki telep	Hungary	46.208562	18.700047	1240K	2	1.547	748330	M	n/a (no relatives detected)	G-P15	G2a	X2d1	ds.half,ds.minus	S2341.L1,S3520.L1	PASS	Xcontam=[0.002,0.019]	1	1	1	1	0	Austria.Hungary.Slovenia	Hungary	N	0.75861	1.026	0.01	0.550174	-0.028	1.018	0.011	0.012	0.014	0.017	0.6	0.75861	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_highEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0
I3537	I3537	MEMO7a	LipsonNature2017	Direct: IntCal20	7366	35	5479-5361 calBCE (6449±30 BP, BRAMS-1302)	Hungary_MN_ALPc_Szatmar_o	Mezőkövesd-Mocsolyás	Hungary	47.78134	20.58258	1240K	1	0.264	256205	F	n/a (no relatives detected)	n/a (female)	n/a (female)	HV	ds.minus	S3537.L1	PASS	..	1	1	1	1	0	Austria.Hungary.Slovenia	Hungary	N	0.247944	0.945	0.014	0.132057	0.053	0.93	0.018	0.015	0.02	0.021	0.9	0.247944	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.055711
I2382	I2382	MEMO24b	LipsonNature2017	Context: Archaeological - Period	7350	58	5500-5300 BCE	Hungary_MN_ALPc_Szatmar	Mezőkövesd-Mocsolyás	Hungary	47.78134	20.58258	1240K	1	0.043	48977	M	n/a (no relatives detected)	F	F	U8b1b	ds.half	S2382.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.022787	0.91	0.023	0.007476	0.102	0.922	-0.024	0.027	0.032	0.038	-0.6	0.022787	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.105183
I2380	I2380	MEMO2b	LipsonNature2017	Context: Archaeological - Period	7350	58	5500-5300 BCE	Hungary_MN_ALPc_Szatmar	Mezőkövesd-Mocsolyás	Hungary	47.78134	20.58258	1240K	1	2.283	740276	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1a1	ds.half	S2380.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.038161	0.936	0.013	0.013289	0.061	0.925	0.014	0.015	0.017	0.018	0.8	0.038161	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.044786
I1895_published	I1895	SEKU6a	LipsonNature2017	Direct: IntCal20	7195	55	5318-5077 calBCE (6267±33 BP, MAMS-14809)	Hungary_MN_Vinca	Szederkény-Kukorica-dülö	Hungary	45.5969	18.28247	1240K	1	1.15	673130	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H26	ds.half	S1895.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.670642	0.889	0.013	0.74024	0.12	0.895	-0.015	0.015	0.017	0.018	-0.8	0.74024	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.002222
I1896	I1896	SEKU10a	LipsonNature2017	Direct: IntCal20	7190	59	5317-5074 calBCE (6264±34 BP, OxA-29050)	Hungary_MN_Vinca	Szederkény-Kukorica-dülö	Hungary	45.5969	18.28247	1240K	1	0.239	242023	M	n/a (no relatives detected)	G-PF3346	G2a2b2a1a	K2a	ds.half	S1896.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.545919	0.987	0.013	0.700045	0.005	0.972	0.023	0.017	0.018	0.022	1	0.700045	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.088622
I2739_published	I2739	GEN18	LipsonNature2017	Direct: IntCal20	7158	74	5307-5069 calBCE (6244±34 BP, SUERC-51459)	Hungary_MN_LBK	Alsónyék-Bátaszék, site 11	Hungary	46.208562	18.700047	1240K	1	1.484	735848	M	n/a (no relatives detected)	G-F1193	G2a2b2b1	T2c1+146C!	ds.half	S2739.L1	PASS	X-contam=0.008	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.875301	0.984	0.012	0.606187	0.017	0.976	0.007	0.013	0.016	0.017	0.4	0.875301	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.020306
I1887	I1887	VEGI3a	LipsonNature2017	Context: Archaeological - Period	7150	115	5400-5000 BCE	Hungary_MN_Vinca	Versend-Gilencsa	Hungary	45.5853	18.30771	1240K	1	0.409	373740	M	n/a (no relatives detected)	H-P96	H	T2b	ds.half	S1887.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.204467	0.981	0.012	0.636237	0.009	0.956	0.036	0.015	0.018	0.02	1.8	0.636237	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_highSteppe	Austria.Hungary.Slovenia_8100.to.6500BP	0.018086
I1894	I1894	VEGI17a	LipsonNature2017	Context: Archaeological - Period	7150	115	5400-5000 BCE	Hungary_MN_Vinca	Versend-Gilencsa	Hungary	45.5853	18.30771	1240K	1	0.014	15424	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U2+152	ds.half	S1894.L1	PASS	..	0	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.292942	0.996	0.035	0.25699	-0.024	0.946	0.078	0.044	0.055	0.07	1.1	0.292942	Do not pool into main transects (<30000 SNPs)	Ignore_Austria.Hungary.Slovenia_8100.to.6500BP	Ignore_Hungary_8100.to.6500BP	Ignore_Austria.Hungary.Slovenia_8100.to.6500BP_highEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.518172
I1506	I1506	PF325, NE1	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Direct: IntCal20	7146	75	5306-5064 calBCE (6237±32 BP, OxA-27861)	Hungary_MN_ALPc	Polgár-Ferenci hát, M3-31	Hungary	47.88	21.19	1240K	1	1.517	704182	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5b2c	ds.half	S1506.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.006508	0.898	0.013	0.431178	0.082	0.859	0.059	0.015	0.017	0.019	3.1	0.431178	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_highSteppe	Austria.Hungary.Slovenia_8100.to.6500BP	0.000276
I2384_published	I2384	HAJE7a	LipsonNature2017	Direct: IntCal20	7114	74	5305-5046 calBCE (6220±40 BP, Poz-83631)	Hungary_MN_ALPc	Hajdúnánás-Eszlári út	Hungary	47.85755	21.43239	1240K	1	1.569	670703	M	n/a (no relatives detected)	I-L596	I2	K1a	ds.half	S2384.L1	PASS	X-contam=0.013; mtcontam=0.95	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.111922	0.893	0.014	0.036901	0.113	0.893	-0.006	0.016	0.018	0.019	-0.3	0.111922	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_highWHG	Austria.Hungary.Slovenia_8100.to.6500BP	0.000467
I1498	I1498	HUNG302, NE2	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Direct: IntCal20	7094	62	5297-5048 calBCE (6207±30 BP, OxA-27858)	Hungary_MN_ALPc	Debrecen Tocopart Erdoalja	Hungary	47.524728	21.58557	1240K	1	4.879	809882	F	Czech Republic, Lovosice Family A (2 members) (I14983-I17312 have a 2d or 3d relationship)	n/a (female)	n/a (female)	H	ds.half	S1498.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.023843	0.87	0.013	0.413268	0.114	0.84	0.047	0.014	0.016	0.018	2.6	0.413268	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0
I1499	I1499	HUNG86, NE3	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Direct: IntCal20	7077	58	5286-5015 calBCE (6185±34 BP, OxA-27732)	Hungary_MN_ALPc_Bukk	Garadna	Hungary	48.52	21.168	1240K	1	3.319	817184	F	n/a (no relatives detected)	n/a (female)	n/a (female)	X2b+226	ds.half	S1499.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.986832	0.836	0.014	0.760569	0.166	0.831	0.003	0.016	0.017	0.017	0.2	0.986832	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0
I3535	I3535	HAJE10a	LipsonNature2017	Direct: IntCal20	7068	64	5217-4997 calBCE (6170±40 BP, Poz-83632)	Hungary_MN_ALPc	Hajdúnánás-Eszlári út	Hungary	47.85755	21.43239	1240K	1	0.287	261146	M	n/a (no relatives detected)	I2	I2	J2b1	ds.minus	S3535.L1	PASS	..	1	1	1	1	0	Austria.Hungary.Slovenia	Hungary	N	0.762987	0.866	0.014	0.602623	0.141	0.87	-0.011	0.016	0.019	0.02	-0.6	0.762987	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000801
I1500	I1500	HUNG372, NE5	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Direct: IntCal20	7058	89	5301-4940 calBCE (6164±64 BP, OxA-23763)	Hungary_MN_ALPc	Kompolt-Kigyoser	Hungary	47.167	20.833	1240K	1	4.246	813291	M	n/a (no relatives detected)	C-V86	C1a2	J1c1	ds.half	S1500.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.669524	0.92	0.013	0.614508	0.076	0.907	0.017	0.015	0.017	0.019	0.9	0.669524	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.047624
I1505	I1505	PF839/1198, NE4	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Direct: IntCal20	7057	64	5210-5003 calBCE (6153±33 BP, OxA-28020)	Hungary_MN_ALPc	Polgár-Ferenci hát, M3-31	Hungary	47.88	21.19	1240K	1	3.494	769498	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J1c5	ds.half	S1505.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.591962	0.89	0.013	0.378179	0.118	0.893	-0.011	0.015	0.017	0.018	-0.6	0.591962	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000095
I1882	I1882	BUD4a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_LBK	Budakeszi, Szőlőskert-Tangazdaság	Hungary	47.50163	18.910468	1240K	1	0.165	173947	M	n/a (no relatives detected)	G-P303	G2a2b2a	T1a	ds.half	S2346.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.481934	0.916	0.015	0.79315	0.075	0.896	0.03	0.018	0.021	0.024	1.3	0.79315	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.825567
I4196	I4196	BUD9a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_LBK	Budakeszi, Szőlőskert-Tangazdaság	Hungary	47.50163	18.910468	1240K	1	1.098	638125	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U2+152	ds.half	S4196.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.176925	0.981	0.011	0.388004	0.01	0.96	0.03	0.013	0.016	0.017	1.8	0.388004	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_o	Austria.Hungary.Slovenia_8100.to.6500BP	0.000884
I2743	I2743	CEG03b	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Szakalhat	Cegléd, site 4/1	Hungary	47.178841	19.860515	1240K	1	0.262	247970	M	n/a (no relatives detected)	G-Z6880	G2a2b2a3b	H	ds.half	S2743.L1	PASS	mtcontam=0.871	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.506048	0.889	0.015	0.286806	0.108	0.879	0.013	0.017	0.02	0.023	0.6	0.506048	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.007743
I2744	I2744	CEG07b	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Szakalhat	Cegléd, site 4/1	Hungary	47.178841	19.860515	1240K	1	0.302	293701	M	n/a (no relatives detected)	G-P303	G2a2b2a	J2b1	ds.half	S2744.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.781297	0.874	0.014	0.480927	0.131	0.874	-0.005	0.016	0.02	0.021	-0.2	0.781297	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.001592
I2745	I2745	CEG08b	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Szakalhat	Cegléd, site 4/1	Hungary	47.178841	19.860515	1240K	1	0.191	197487	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J1c1	ds.half	S2745.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.875929	0.896	0.016	0.561706	0.106	0.892	0.002	0.018	0.022	0.024	0.1	0.875929	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_o	Austria.Hungary.Slovenia_8100.to.6500BP	0.001952
I4186	I4186	EBSA2a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Esztar	Ebes-Sajtgyár	Hungary	47.477645	21.503001	1240K	1	0.054	60999	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1a	ds.half	S4186.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.420884	0.818	0.02	0.207268	0.179	0.807	0.014	0.024	0.029	0.034	0.4	0.420884	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000006
I4187	I4187	EBVO5a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Esztar	Ebes-Zsongvölgy	Hungary	47.480426	21.501858	1240K	1	0.041	47198	M	n/a (no relatives detected)	H-P96	H	V1a	ds.half	S4187.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.251195	0.945	0.02	0.097362	0.054	0.936	0.01	0.024	0.032	0.038	0.3	0.251195	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.589758
I3536	I3536	KON3	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_LBK	Enese elkerülő, Kóny, Proletár-dülö, M85, Site 2	Hungary	47.63868	17.36453	1240K	1	0.028	32544	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	ds.minus	S3536.L1	PASS	..	1	1	1	1	0	Austria.Hungary.Slovenia	Hungary	N	0.403752	0.987	0.024	0.21021	0.007	0.969	0.024	0.029	0.036	0.044	0.5	0.403752	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.350691
I2378	I2378	HELI2a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Tiszadob	Hejőkürt-Lidl logisztikai központ	Hungary	47.86071	21.00058	1240K	1	0.094	104031	M	n/a (no relatives detected)	I-Y3259	I2a1b1	U8b1b	ds.half	S2378.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.887961	0.912	0.018	0.675974	0.087	0.902	0.011	0.02	0.025	0.027	0.4	0.887961	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.762033
I4188	I4188	POPI5a	Additional data on individual first reported in LipsonNature2017; see original publication for archaeological context	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_new	Polgár-Piócás	Hungary	47.865071	21.125287	1240K	2	0.521325	412567	M	n/a (no relatives detected)	I-CTS10057	I2a1b1a2	K1a	ds.half,ds.half	S18053.Y1.E1.L1,S4188.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.829582	0.882	0.014	0.529673	0.122	0.88	-0.003	0.016	0.018	0.02	-0.2	0.829582	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000281
I2357_all	I2357	PULE1.23a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALBK_Szakalhat_all	Pusztataskony Ledence 1	Hungary	47.45925	20.51282	1240K	2	0.410313	370102	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	ds.half,ds.minus	S2357.L1,S3518.L1	PASS	..	1	1	1	1	0	Austria.Hungary.Slovenia	Hungary	N	0.713936	0.89	0.014	0.510073	0.108	0.88	0.011	0.016	0.018	0.019	0.6	0.713936	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.024341
I2355	I2355	PULE1.18a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALBK_Szakalhat	Pusztataskony-Ledence I	Hungary	47.45925	20.51282	1240K	1	0.29	270094	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2c1d1	ds.half	S2355.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.343817	0.866	0.014	0.790803	0.146	0.883	-0.029	0.016	0.019	0.02	-1.5	0.790803	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.00241
I2376	I2376	TISO11a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Tiszadob	Tiszadob-Ó-Kenéz	Hungary	48.00363	21.17651	1240K	1	0.431	380003	M	n/a (no relatives detected)	H	H	HV0a	ds.half	S2376.L1	PASS	mtcontam=[0.855,0.932], Xcontam=[0,0.014]	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.01525	0.89	0.015	0.004163	0.119	0.892	-0.011	0.017	0.018	0.02	-0.6	0.01525	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000014
I2375	I2375	TISO1b	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Tiszadob	Tiszadob-Ó-Kenéz	Hungary	48.00363	21.17651	1240K	1	0.11	119021	M	n/a (no relatives detected)	I-L701	I2a1b1a2	H7	ds.half	S2375.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.975683	0.89	0.016	0.823616	0.109	0.883	0.009	0.02	0.024	0.028	0.3	0.975683	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.273818
I4199	I4199	TISO3a	LipsonNature2017	Context: Archaeological - Period	7050	115	5300-4900 BCE	Hungary_MN_ALPc_Tiszadob	Tiszadob-Ó-Kenéz	Hungary	48.00363	21.17651	1240K	1	0.27	269195	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5b2b1a	ds.half	S4199.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.031181	0.866	0.015	0.014355	0.128	0.85	0.022	0.018	0.02	0.022	1	0.031181	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_lowEEF	Austria.Hungary.Slovenia_8100.to.6500BP	0.000189
I1496	I1496	HUNG352, NE6	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Direct: IntCal20	7040	72	5211-4958 calBCE (6135±33 BP, MAMS-14821)	Hungary_MN_LBK	Apc-Berekalya I	Hungary	47.167	19.833	1240K	1	5.246	795124	M	n/a (no relatives detected)	C-V20	C1a2	K1a3a3	ds.half	S1496.E1.L1	PASS	mtcontam=[0.963,0.976]	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.54126	0.968	0.012	0.38431	0.03	0.955	0.014	0.013	0.016	0.017	0.8	0.54126	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.154201
I1904	I1904	BAL25b	LipsonNature2017	Direct: IntCal20	7010	79	5209-4941 calBCE (6115±35 BP, Poz-82584)	Hungary_MN_LBK	Bátaszék-Lajvér	Hungary	46.20487	18.7004	1240K	1	2.768	788190	M	n/a (no relatives detected)	G-PF3148	G2a2a1	K1b1a	ds.half	S1904.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.022229	0.976	0.011	0.015371	0.017	0.958	0.025	0.012	0.015	0.017	1.5	0.022229	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP_o	Austria.Hungary.Slovenia_8100.to.6500BP	0.000014
